my_object,video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 0, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [3, 3], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
,TalhQQ9B7vc_0,0.6569411033552889,1.0,0.7865551640977945,0.4593912882950342,1.0,0.694821262842797,0.9080902025300851,14.63761882844142,70.0,0.0,331.0,0.0,399.0,5.0,10.0,59.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6562812504299009,1.0,0.7860186749365929,0.45850803303453347,1.0,0.6942094870312047,0.9078948243397446,13.944945339607616,70.0,0.0,331.0,0.0,399.0,5.0,10.0,60.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6553112633187149,1.0,0.7851631641190978,0.4551901756759205,1.0,0.6896394855974154,0.9069253549659914,12.288571681954785,70.0,0.0,331.0,0.0,399.0,5.0,10.0,61.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6550849234854969,1.0,0.7850280073954563,0.45669124606508804,1.0,0.689954862660933,0.9059830795592793,11.523461950475212,70.0,0.0,331.0,0.0,399.0,5.0,10.0,62.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6555409269889421,1.0,0.7854707942009326,0.4582345688326308,1.0,0.6937197962860542,0.9070197181945927,10.682794903465672,70.0,0.0,331.0,0.0,399.0,5.0,10.0,63.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6563367071124679,1.0,0.7860553908830826,0.458313230244974,1.0,0.6933444841707852,0.9073061166018249,11.354288227952138,70.0,0.0,331.0,0.0,399.0,5.0,10.0,64.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6565906172085475,1.0,0.7862284066588126,0.45814322728546314,1.0,0.6929382473438819,0.9069680079723754,9.49181793506176,70.0,0.0,331.0,0.0,399.0,5.0,10.0,65.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6554443673176035,1.0,0.7853163254198559,0.4573560782100114,1.0,0.6916671998061006,0.9069944818967476,9.850834923695441,71.0,0.0,330.0,0.0,399.0,5.0,10.0,66.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6576207259054537,1.0,0.7871562946650796,0.46038067809046807,1.0,0.6968376693260371,0.9081775680156992,9.17048177431638,68.0,0.0,333.0,0.0,399.0,5.0,10.0,67.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6571176423218027,1.0,0.7866184626538762,0.4587256577112045,1.0,0.6918888523789457,0.907120368157878,8.806970060699696,71.0,0.0,330.0,0.0,399.0,5.0,10.0,68.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6541867910112851,1.0,0.7843140146971385,0.4553644648318346,1.0,0.6882420814012215,0.9061385103448778,7.745629084351651,71.0,0.0,330.0,0.0,399.0,5.0,10.0,69.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6559332652421428,1.0,0.7857820299203644,0.45884250732165405,1.0,0.6935312247568082,0.9074694909260762,7.059867327156079,70.0,0.0,331.0,0.0,399.0,5.0,10.0,70.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6546753036780713,1.0,0.784662722389055,0.45489672630115163,1.0,0.6888103192518384,0.905326091170773,7.656626357255731,70.0,0.0,331.0,0.0,399.0,5.0,10.0,71.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6561913732243987,1.0,0.7859695584917722,0.4591787065668747,1.0,0.693157933827433,0.9062292757716374,6.531704977918761,70.0,0.0,331.0,0.0,399.0,5.0,10.0,72.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6548129036230127,1.0,0.7847207278248058,0.45430709301491656,1.0,0.6892600472899084,0.9070116998436754,7.158280693583427,71.0,0.0,330.0,0.0,399.0,5.0,10.0,73.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6568974506399015,1.0,0.7864913909935562,0.45777303564408844,1.0,0.6927432869134538,0.9072969661346251,5.976387791633507,69.0,0.0,332.0,0.0,399.0,5.0,10.0,74.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6568811710107303,1.0,0.7865152910619706,0.45953432619539186,1.0,0.6938608831456576,0.9074658029148401,6.618597711952833,70.0,0.0,331.0,0.0,399.0,5.0,10.0,75.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6567610388011783,1.0,0.7864157201962915,0.45767852493130495,1.0,0.6932801444028884,0.9066896916111886,6.342040017770408,67.0,0.0,334.0,0.0,399.0,5.0,10.0,76.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6551464066327845,1.0,0.7850474566740435,0.4559241711548407,1.0,0.6888987312334605,0.9060982804880703,5.466121741430916,71.0,0.0,330.0,0.0,399.0,5.0,10.0,77.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6558156051114105,1.0,0.7855317178924992,0.45546457980099925,1.0,0.6891908365336791,0.9062830378821397,5.8534736775757485,70.0,0.0,331.0,0.0,399.0,5.0,10.0,78.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6566587240562849,1.0,0.7862557246375239,0.4570567726756166,1.0,0.6910676509229757,0.9064571317846445,4.911626708529885,69.0,0.0,332.0,0.0,399.0,5.0,10.0,79.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.655830661370617,1.0,0.7856281071269197,0.45648722836830985,1.0,0.690611834617987,0.9059222318530176,4.733066081886639,69.0,0.0,332.0,0.0,399.0,5.0,10.0,80.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6569110414098022,1.0,0.7864691850887969,0.4574907689451435,1.0,0.691621047921734,0.9064718207218769,4.969892626956021,69.0,0.0,332.0,0.0,399.0,5.0,10.0,81.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6579528771535565,1.0,0.7873132494456213,0.4597609925547163,1.0,0.6939655213561826,0.9075562539790322,4.793749854066808,70.0,0.0,331.0,0.0,399.0,5.0,10.0,82.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6547145536409641,1.0,0.7846604758299698,0.45495237369079095,1.0,0.6884599033659495,0.9060285239845532,4.347155912759278,71.0,0.0,330.0,0.0,399.0,5.0,10.0,83.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6559957169531271,1.0,0.7857832571065715,0.4582606430338089,1.0,0.6940147280238951,0.9074649875008659,4.387634515012404,71.0,0.0,330.0,0.0,399.0,5.0,10.0,84.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6572238526518152,1.0,0.7867025577301378,0.457933668841822,1.0,0.6923011179242691,0.9070605603054547,3.9102951888108004,70.0,0.0,331.0,0.0,399.0,5.0,10.0,85.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6557627289034903,1.0,0.7855367622601235,0.45621650467017366,1.0,0.6910088113779279,0.9066368112455472,4.009097228329395,70.0,0.0,331.0,0.0,399.0,5.0,10.0,86.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6562799105818812,1.0,0.7859684619673747,0.45717744749251515,1.0,0.6911129061604377,0.9067382861575574,3.56655804952394,70.0,0.0,331.0,0.0,399.0,5.0,10.0,87.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6553631657440988,1.0,0.7851551486850916,0.45479585063234956,1.0,0.6882459754000236,0.906063989914617,3.7413500053017943,71.0,0.0,330.0,0.0,399.0,5.0,10.0,88.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6567173660885892,1.0,0.786303570449326,0.45760306693708913,1.0,0.6915773855298887,0.9071576251505621,3.327117487859305,70.0,0.0,331.0,0.0,399.0,5.0,10.0,89.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6568175774357188,1.0,0.7864710252519801,0.4590776759775167,1.0,0.6936063777708975,0.907143729913939,3.529785211754209,69.0,0.0,332.0,0.0,399.0,5.0,10.0,90.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.656881978266535,1.0,0.7865486806680806,0.4598393841565023,1.0,0.6942830683170148,0.9073316669455973,3.073849936353122,69.0,0.0,332.0,0.0,399.0,5.0,10.0,91.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6560090822594457,1.0,0.7857795454554143,0.45804331707299717,1.0,0.6930574061386188,0.9075698882221733,3.3024660336597225,71.0,0.0,330.0,0.0,399.0,5.0,10.0,92.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.657093645939683,1.0,0.7866626211016323,0.4584826517940452,1.0,0.6937181975916742,0.9077790120600007,3.229788675696889,69.0,0.0,332.0,0.0,399.0,5.0,10.0,93.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6561616340385829,1.0,0.7858373898435399,0.45651561886377606,1.0,0.6903578668763877,0.9063672829397659,2.8035084069584606,70.0,0.0,331.0,0.0,399.0,5.0,10.0,94.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.655864069744005,1.0,0.7856675268795827,0.45745918633665966,1.0,0.6929907204631118,0.9074215841655027,2.644371153718619,70.0,0.0,331.0,0.0,399.0,5.0,10.0,95.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.656636864982682,1.0,0.7863222287238161,0.4593001820955847,1.0,0.6937167349292195,0.9076650232821364,2.940762386027867,70.0,0.0,331.0,0.0,399.0,5.0,10.0,96.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6568619509733068,1.0,0.7864895282181468,0.45929076996325435,1.0,0.6939860648380969,0.9079362351013229,2.488858011434431,70.0,0.0,331.0,0.0,399.0,5.0,10.0,97.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6558172879337059,1.0,0.7856959020953436,0.4590042932594933,1.0,0.6944254947087716,0.9074292280450273,2.7475045081085967,70.0,0.0,331.0,0.0,399.0,5.0,10.0,98.0,0.3,20.0,"[3, 3]","[30, 30]"
