my_object,video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
,TalhQQ9B7vc_0,0.6555409269889421,1.0,0.7854707942009326,0.4582345688326308,1.0,0.6937197962860542,0.9070197181945927,10.682794903465672,70.0,0.0,331.0,0.0,399.0,5.0,10.0,63.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6563367071124679,1.0,0.7860553908830826,0.458313230244974,1.0,0.6933444841707852,0.9073061166018249,11.354288227952138,70.0,0.0,331.0,0.0,399.0,5.0,10.0,64.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6565906172085475,1.0,0.7862284066588126,0.45814322728546314,1.0,0.6929382473438819,0.9069680079723754,9.49181793506176,70.0,0.0,331.0,0.0,399.0,5.0,10.0,65.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6554443673176035,1.0,0.7853163254198559,0.4573560782100114,1.0,0.6916671998061006,0.9069944818967476,9.850834923695441,71.0,0.0,330.0,0.0,399.0,5.0,10.0,66.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6576207259054537,1.0,0.7871562946650796,0.46038067809046807,1.0,0.6968376693260371,0.9081775680156992,9.17048177431638,68.0,0.0,333.0,0.0,399.0,5.0,10.0,67.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6571176423218027,1.0,0.7866184626538762,0.4587256577112045,1.0,0.6918888523789457,0.907120368157878,8.806970060699696,71.0,0.0,330.0,0.0,399.0,5.0,10.0,68.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6541867910112851,1.0,0.7843140146971385,0.4553644648318346,1.0,0.6882420814012215,0.9061385103448778,7.745629084351651,71.0,0.0,330.0,0.0,399.0,5.0,10.0,69.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6559332652421428,1.0,0.7857820299203644,0.45884250732165405,1.0,0.6935312247568082,0.9074694909260762,7.059867327156079,70.0,0.0,331.0,0.0,399.0,5.0,10.0,70.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6546753036780713,1.0,0.784662722389055,0.45489672630115163,1.0,0.6888103192518384,0.905326091170773,7.656626357255731,70.0,0.0,331.0,0.0,399.0,5.0,10.0,71.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6561913732243987,1.0,0.7859695584917722,0.4591787065668747,1.0,0.693157933827433,0.9062292757716374,6.531704977918761,70.0,0.0,331.0,0.0,399.0,5.0,10.0,72.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6548129036230127,1.0,0.7847207278248058,0.45430709301491656,1.0,0.6892600472899084,0.9070116998436754,7.158280693583427,71.0,0.0,330.0,0.0,399.0,5.0,10.0,73.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6568974506399015,1.0,0.7864913909935562,0.45777303564408844,1.0,0.6927432869134538,0.9072969661346251,5.976387791633507,69.0,0.0,332.0,0.0,399.0,5.0,10.0,74.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6568811710107303,1.0,0.7865152910619706,0.45953432619539186,1.0,0.6938608831456576,0.9074658029148401,6.618597711952833,70.0,0.0,331.0,0.0,399.0,5.0,10.0,75.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6567610388011783,1.0,0.7864157201962915,0.45767852493130495,1.0,0.6932801444028884,0.9066896916111886,6.342040017770408,67.0,0.0,334.0,0.0,399.0,5.0,10.0,76.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6551464066327845,1.0,0.7850474566740435,0.4559241711548407,1.0,0.6888987312334605,0.9060982804880703,5.466121741430916,71.0,0.0,330.0,0.0,399.0,5.0,10.0,77.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6558156051114105,1.0,0.7855317178924992,0.45546457980099925,1.0,0.6891908365336791,0.9062830378821397,5.8534736775757485,70.0,0.0,331.0,0.0,399.0,5.0,10.0,78.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6566587240562849,1.0,0.7862557246375239,0.4570567726756166,1.0,0.6910676509229757,0.9064571317846445,4.911626708529885,69.0,0.0,332.0,0.0,399.0,5.0,10.0,79.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.655830661370617,1.0,0.7856281071269197,0.45648722836830985,1.0,0.690611834617987,0.9059222318530176,4.733066081886639,69.0,0.0,332.0,0.0,399.0,5.0,10.0,80.0,0.3,20.0,"[3, 3]","[30, 30]"
