"C:\Users\korna\Documents\Учёба\Проектная практика\TrackingOptimization\venv\Scripts\python.exe" "C:/Users/korna/Documents/Учёба/Проектная практика/TrackingOptimization/main.py"
OpenCV v4.1.0

|   iter    |  target   | maxLevel  | maxMed... | points... | termCr... | termCr... |  winSize  | winSiz... |
|  112      |  0.4721   |  7.658    |  6.269    |  7.306    |  0.5524   |  49.82    |  81.66    |  41.71    |
|  113      |  0.5183   |  4.199    |  12.4     |  6.448    |  0.5285   |  46.31    |  81.74    |  40.87    |
|  114      |  0.5108   |  2.96     |  13.57    |  7.037    |  0.3524   |  45.56    |  82.77    |  47.08    |
|  115      |  0.4884   |  2.427    |  6.146    |  11.58    |  0.1743   |  48.08    |  88.32    |  46.27    |
|  116      |  0.4873   |  3.813    |  8.33     |  6.567    |  0.5049   |  47.5     |  86.88    |  41.36    |
|  117      |  0.5026   |  3.129    |  12.37    |  6.988    |  0.391    |  46.38    |  82.26    |  45.08    |
|  118      |  0.509    |  5.172    |  6.509    |  7.169    |  0.438    |  49.89    |  89.37    |  45.31    |
|  119      |  0.5018   |  2.899    |  13.08    |  7.099    |  0.2407   |  45.78    |  80.49    |  44.82    |
|  120      |  0.4933   |  4.37     |  14.25    |  5.047    |  0.1932   |  47.24    |  83.04    |  43.12    |
|  121      |  0.4893   |  5.018    |  11.48    |  7.626    |  0.2537   |  49.1     |  82.46    |  47.55    |
|  122      |  0.5041   |  4.379    |  11.64    |  5.603    |  0.3913   |  47.64    |  82.33    |  39.81    |
|  123      |  0.5108   |  2.535    |  12.72    |  7.318    |  0.3572   |  48.72    |  88.9     |  47.76    |
|  124      |  0.494    |  8.449    |  11.33    |  9.767    |  0.5356   |  49.05    |  82.11    |  41.72    |
|  125      |  0.5084   |  3.129    |  7.488    |  7.561    |  0.4013   |  49.28    |  88.28    |  45.84    |
|  126      |  0.4987   |  2.747    |  9.852    |  8.289    |  0.5155   |  47.75    |  90.28    |  47.99    |
|  127      |  0.4931   |  5.734    |  11.26    |  12.99    |  0.1554   |  49.91    |  82.68    |  43.99    |
