video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC,my_object
TalhQQ9B7vc_0,0.6224845307643067,1.0,0.7543514591287048,0.38572941934129784,1.0,0.7382221347372225,0.9304857801304484,102.90700560481181,108.0,0.0,293.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[176, 176]",
TalhQQ9B7vc_0,0.641111432985533,1.0,0.7721153178875135,0.42633251333922945,1.0,0.7321012793009247,0.9289582978185468,99.3804107705242,92.0,0.0,309.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[177, 177]",
TalhQQ9B7vc_0,0.6459696596745153,1.0,0.776209774696399,0.4275516063069939,1.0,0.7448279860771457,0.9327873705891955,96.97468008908031,84.0,0.0,317.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[178, 178]",
TalhQQ9B7vc_0,0.6526620497530069,1.0,0.7825487030358819,0.448022221489852,1.0,0.7398517154314554,0.9313201979559625,95.68927168292016,76.0,0.0,325.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[179, 179]",
TalhQQ9B7vc_0,0.6275870546244292,1.0,0.7599058407206022,0.4070872939466063,1.0,0.7553499241942321,0.9307824489169492,80.14869273806764,106.0,0.0,295.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[180, 180]",
TalhQQ9B7vc_0,0.6401242034984043,1.0,0.7706765563468161,0.41894059203772355,1.0,0.7397494435391188,0.9311188497162561,78.56972150123214,96.0,0.0,305.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[181, 181]",
TalhQQ9B7vc_0,0.6253221644035216,1.0,0.7574658994233561,0.4002540232756506,1.0,0.7512773299941877,0.9326496964241102,95.09591801492653,110.0,0.0,291.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[182, 182]",
TalhQQ9B7vc_0,0.6448757344475916,1.0,0.7755040551211827,0.4293733553091109,1.0,0.718268805043465,0.924694112364451,71.011023740803,85.0,0.0,316.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[183, 183]",
TalhQQ9B7vc_0,0.645754961477981,1.0,0.7762781796445508,0.432673735224543,1.0,0.7361167846591598,0.93028613428207,75.24184663928656,85.0,0.0,316.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[184, 184]",
TalhQQ9B7vc_0,0.6343649584256587,1.0,0.7661857589485591,0.4164353683227357,1.0,0.7265497045112126,0.9269368384189485,95.59816486690471,96.0,0.0,305.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[185, 185]",
TalhQQ9B7vc_0,0.6280229786413468,1.0,0.7604287391976094,0.4073920585002814,1.0,0.7580195829388281,0.9342817038482876,93.78678832484562,102.0,0.0,299.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[186, 186]",
TalhQQ9B7vc_0,0.6411934700477784,1.0,0.7713319896709203,0.41704936808651355,1.0,0.7456661839236431,0.9324698937946893,94.81995197512619,97.0,0.0,304.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[187, 187]",
